Electronic Nose Data Export
Sample Name,tes
Sample Type,Bunga Kenanga
Export Date,2025-12-08T18:01:42.046639
Mode,Auto FSM
Number of Points,242

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
33.500,0.65,0.58,0.09,0.04,19.63,24.16,7.33
33.750,0.65,0.58,0.09,0.04,19.63,24.16,7.33
34.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
34.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
34.500,0.65,0.58,0.09,0.04,18.57,22.46,6.88
34.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
35.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
35.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
35.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
35.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
36.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
36.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
36.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
36.750,0.65,0.58,0.09,0.04,19.63,24.16,7.33
37.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
37.250,0.65,0.58,0.09,0.04,19.63,24.16,7.33
37.500,0.65,0.58,0.09,0.04,19.63,24.16,7.33
37.750,0.65,0.58,0.09,0.04,19.63,24.16,7.33
38.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
38.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
38.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
38.750,0.65,0.58,0.09,0.04,19.63,24.16,7.33
39.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
39.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
39.500,0.65,0.58,0.09,0.04,19.63,24.16,7.33
39.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
40.000,0.65,0.58,0.09,0.04,19.63,24.16,7.33
40.250,0.65,0.58,0.09,0.04,19.10,23.31,7.11
40.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
40.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
41.000,0.65,0.58,0.09,0.04,19.63,24.16,7.33
41.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
41.500,0.65,0.58,0.09,0.04,20.71,25.92,7.79
41.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
42.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
42.250,0.66,0.58,0.09,0.04,19.63,24.16,7.33
42.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
42.750,0.65,0.58,0.09,0.04,19.63,24.16,7.33
43.000,0.66,0.58,0.09,0.04,19.63,24.16,7.33
43.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
43.500,0.66,0.58,0.09,0.04,19.63,24.16,7.33
43.750,0.65,0.58,0.09,0.04,19.63,24.16,7.33
44.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
44.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
44.500,0.66,0.58,0.09,0.04,19.63,24.16,7.33
44.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
45.000,0.66,0.58,0.09,0.04,19.63,24.16,7.33
45.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
45.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
45.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
46.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
46.250,0.66,0.58,0.09,0.04,19.10,23.31,7.11
46.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
46.750,0.66,0.58,0.09,0.04,20.71,25.92,7.79
47.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
47.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
47.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
47.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
48.000,0.66,0.58,0.09,0.04,19.63,24.16,7.33
48.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
48.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
48.750,0.66,0.58,0.09,0.04,19.63,24.16,7.33
49.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
49.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
49.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
49.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
50.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
50.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
50.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
50.750,0.66,0.58,0.09,0.04,19.63,24.16,7.33
51.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
51.250,0.66,0.58,0.09,0.04,21.26,26.81,8.03
51.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
51.750,0.66,0.58,0.09,0.04,19.63,24.16,7.33
52.000,0.66,0.58,0.09,0.04,19.63,24.16,7.33
52.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
52.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
52.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
53.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
53.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
53.500,0.66,0.58,0.09,0.04,20.71,25.92,7.79
53.750,0.66,0.58,0.09,0.04,19.63,24.16,7.33
54.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
54.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
54.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
54.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
55.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
55.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
55.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
55.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
56.000,0.66,0.58,0.09,0.04,19.63,24.16,7.33
56.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
56.500,0.66,0.58,0.09,0.04,20.17,25.03,7.56
56.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
57.000,0.67,0.58,0.09,0.04,20.17,25.03,7.56
57.250,0.67,0.58,0.09,0.04,18.57,22.46,6.88
57.500,0.67,0.58,0.09,0.04,20.17,25.03,7.56
57.750,0.67,0.58,0.09,0.04,20.71,25.92,7.79
58.000,0.67,0.58,0.09,0.04,20.17,25.03,7.56
58.250,0.67,0.58,0.09,0.04,20.17,25.03,7.56
58.500,0.67,0.58,0.09,0.04,20.17,25.03,7.56
58.750,0.67,0.58,0.09,0.04,20.17,25.03,7.56
59.000,0.67,0.58,0.09,0.04,20.17,25.03,7.56
59.250,0.67,0.58,0.09,0.04,19.63,24.16,7.33
59.500,0.67,0.58,0.09,0.04,20.17,25.03,7.56
59.750,0.67,0.58,0.09,0.04,19.63,24.16,7.33
60.000,0.67,0.58,0.09,0.04,19.63,24.16,7.33
60.250,0.67,0.58,0.09,0.04,20.17,25.03,7.56
