Electronic Nose Data Export
Sample Name,final30-percobaan1-sedapmalam
Sample Type,Bunga Sedap Malam
Export Date,2025-12-11T10:53:52.480802
Mode,Auto FSM
Number of Points,7234

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
37.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
38.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
38.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
38.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
38.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
39.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
39.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
39.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
39.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
40.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
40.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
40.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
40.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
41.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
41.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
41.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
41.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
42.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
42.250,0.87,0.81,0.13,0.05,2.58,1.70,0.74
42.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
42.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
43.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
43.250,0.86,0.81,0.14,0.05,2.58,1.70,0.74
43.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
43.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
44.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
44.250,0.86,0.81,0.14,0.05,2.58,1.70,0.74
44.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
44.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
45.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
45.250,0.86,0.81,0.14,0.05,2.58,1.70,0.74
45.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
45.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
46.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
46.250,0.86,0.81,0.14,0.05,2.58,1.70,0.74
46.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
46.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
47.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
47.250,0.86,0.81,0.14,0.05,2.58,1.70,0.74
47.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
47.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
48.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
48.250,0.86,0.81,0.14,0.05,2.58,1.70,0.74
48.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
48.750,0.86,0.81,0.14,0.05,2.58,1.70,0.74
49.000,0.86,0.81,0.14,0.05,2.58,1.70,0.74
49.250,0.86,0.81,0.14,0.05,2.58,1.70,0.74
49.500,0.86,0.81,0.14,0.05,2.58,1.70,0.74
