Electronic Nose Data Export
Sample Name,pengambilan2-percobaan1-melati
Sample Type,Bunga Kenanga
Export Date,2025-12-08T18:49:19.624059
Mode,Auto FSM
Number of Points,7077

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
91.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
91.500,0.91,0.56,0.30,0.06,31.61,45.04,12.58
91.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
92.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
92.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
92.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
92.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
93.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
93.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
93.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
93.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
94.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
94.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
94.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
94.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
95.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
95.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
95.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
95.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
96.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
96.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
96.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
96.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
97.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
97.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
97.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
97.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
98.000,0.91,0.56,0.30,0.06,32.21,46.16,12.86
98.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
98.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
98.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
99.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
99.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
99.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
99.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
100.000,0.91,0.56,0.30,0.06,32.21,46.16,12.86
100.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
100.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
100.750,0.91,0.56,0.31,0.06,32.82,47.30,13.13
101.000,0.91,0.56,0.31,0.06,32.82,47.30,13.13
101.250,0.91,0.56,0.31,0.06,32.82,47.30,13.13
101.500,0.91,0.56,0.31,0.06,32.82,47.30,13.13
101.750,0.92,0.56,0.31,0.06,32.82,47.30,13.13
102.000,0.91,0.56,0.31,0.06,32.82,47.30,13.13
102.250,0.91,0.56,0.31,0.06,32.82,47.30,13.13
102.500,0.91,0.56,0.31,0.06,32.82,47.30,13.13
102.750,0.91,0.56,0.31,0.06,32.82,47.30,13.13
103.000,0.91,0.56,0.31,0.06,32.82,47.30,13.13
103.250,0.91,0.56,0.31,0.06,32.21,46.16,12.86
103.500,0.91,0.56,0.31,0.06,32.82,47.30,13.13
103.750,0.91,0.56,0.31,0.06,32.82,47.30,13.13
104.000,0.91,0.56,0.31,0.06,32.82,47.30,13.13
104.250,0.91,0.56,0.31,0.06,32.21,46.16,12.86
